,Aired,Duration,English,Episodes,Genres,Jap,Licensors,Producers,Ranked,Rating,Score,Source,Type
11715," Jul, 1997", 20 min.,nan, 1,"Adventure, Drama, Kids", むくはとじゅうの名犬物語,"    None found, add some ","    None found, add some ",  #11716, G - All Ages,7.671 , Unknown,OVA
11716," Sep 25, 1947", 20 min.,nan, 1,Kids, ムクの木の話,"    None found, add some ","    None found, add some ",  #11717, G - All Ages,4.371 , Original,Movie
11717, 2017, 13 min.,nan, 1,Kids, むしむし村の仲間たち　みんないいとこあるんだよ,"    None found, add some ","    None found, add some ",  #11718, G - All Ages,6.501 , Original,OVA
11718," Sep 22, 2017 to ?", 4 min., Mushinin, Unknown,"Samurai, Shounen", ムシ忍(むしにん),"    None found, add some ","    None found, add some ",  #11719, G - All Ages,6.091 , Game,ONA
11719, 2000 to 2001, 22 min. per ep.,nan, 52,Music, 我为歌狂,"    None found, add some ","    None found, add some ",  #11720, PG-13 - Teens 13 or older,6.291 , Unknown,TV
11720," Jun, 2009", 2 min.,nan, 1,"Kids, Music", 無敵のじいちゃん,"    None found, add some ",NHK ,  #11721, G - All Ages,3.871 , Original,  Music
11721," May 3, 2016 to Jan 14, 2017", 2 min. per ep.,nan, 20,Slice of Life, ムズムズエイティーン,"    None found, add some ","    None found, add some ",  #11722, G - All Ages,5.801 , Original,TV
11722," Feb 17, 2009", 5 min., My Home, 1,Slice of Life, 「MY HOME」マイホーム,"    None found, add some ",Echoes ,  #11723, G - All Ages,5.561 , Original,ONA
11723," Aug 24, 2001", 10 min., My Melody in Little Red Riding Hood, 1,"Kids, Fantasy", マイメロディの赤ずきん,"    None found, add some ",Sanrio ,  #11724, G - All Ages,6.001 , Unknown,OVA
11724," Oct, 2009", 2 min., My Wish, 1,Music, My Wish ～マイ ウィッシュ～,"    None found, add some ",NHK ,  #11725, G - All Ages,4.691 , Original,  Music
11725," Jun, 2000", 2 min.,nan, 1,Music, 名もない花のように,"    None found, add some ",NHK ,  #11726, G - All Ages,4.001 , Original,  Music
11726," Jun 14, 2012", 4 min.,nan, 1,"Music, Drama", 名もない毎日,"    None found, add some ","    None found, add some ",  #11727, G - All Ages,5.941 , Original,  Music
11727," Dec 22, 2014 to Jan 15, 2015", 11 min. per ep.,nan, 50,"Adventure, Demons, Fantasy", 那萨尔丁,"    None found, add some ","    None found, add some ",  #11728, PG-13 - Teens 13 or older,5.061 , Original,TV
11728," May 24, 2002 to 2009", 5 min. per ep., Naccio and Pomm, 41,"Kids, Adventure, Sci-Fi", ナッチョとポム,"    None found, add some ",NHK ,  #11729, PG - Children,5.881 , Unknown,TV
11729," Jul 15, 1984", 1 hr. 10 min., My name is Dokgo Tak, 1,Sports, 내 이름은 독고탁,"    None found, add some ","    None found, add some ",  #11730, G - All Ages,5.291 , Unknown,Movie
11730," Jun 20, 2008", 4 min., I Will Be Normal Tomorrow, 1,"Romance, Sci-Fi", 내일은 평범해질거야,"    None found, add some ","    None found, add some ",  #11731, G - All Ages,5.411 , Original,Special
11731," Mar 5, 2008 to Aug 27, 2008", 12 min. per ep., Cocomong, 26,Kids, 냉장고 나라 코코몽,"    None found, add some ","    None found, add some ",  #11732, G - All Ages,5.751 , Original,TV
11732, 2016, 1 min.,nan, 1,Music, ナガハマラジャ,"    None found, add some ","    None found, add some ",  #11733, G - All Ages,4.171 , Original,Special
11733, 2006, 30 min.,nan, 1,"Fantasy, Kids", 流れ星のおくりもの,"    None found, add some ",Shinano Kikaku ,  #11734, G - All Ages,6.111 , Unknown,OVA
11734, 1984, 27 min.,nan, 1,"Historical, Kids", ながさきの子うま,"    None found, add some ","    None found, add some ",  #11735, G - All Ages,7.131 , Unknown,Movie
11735," Jul 21, 2016", 2 min.,nan, 1,Slice of Life, 名古屋鉄道スペシャルムービー,"    None found, add some ","    None found, add some ",  #11736, G - All Ages,5.841 , Original,ONA
11736, 1964, 16 min.,nan, 1,"Demons, Kids", 泣いた赤おに,"    None found, add some ",Gakken ,  #11737, G - All Ages,5.401 , Other,Movie
11737, 1997, 20 min.,nan, 1,"Demons, Drama, Kids", 泣いた赤おに,"    None found, add some ",Gakken ,  #11738, G - All Ages,6.331 , Unknown,OVA
11738," Apr, 1979", 2 min.,nan, 1,"Kids, Music", 泣いていた女の子,"    None found, add some ",NHK ,  #11739, G - All Ages,4.751 , Original,  Music
11739," Mar 17, 2014", 3 min.,nan, 1,Music, 中野原田結婚協奏曲,"    None found, add some ","    None found, add some ",  #11740, G - All Ages,4.001 , Original,Special
11740," Aug 23, 1991", 45 min.,nan, 1,"Drama, Game, Seinen", 哭きの竜 飛竜之章,"    None found, add some ","Gainax,       Toshiba EMI ",  #11741, PG-13 - Teens 13 or older,5.501 , Manga,OVA
11741," Apr 25, 2012", 3 min., A Nameless Day, 1,Music, 名前のない日,"    None found, add some ","    None found, add some ",  #11742, G - All Ages,4.651 , Music,  Music
11742, 2006, 18 min.,nan, 1,"Drama, Kids", 名前... それは燃えるいのち,"    None found, add some ","    None found, add some ",  #11743, G - All Ages,8.501 , Unknown,OVA
11744, 1941, 11 min., The Lazy Fox, 1,  No genres have been added yet., なまけぎつね,"    None found, add some ","    None found, add some ",  #11745, G - All Ages,5.661 , Unknown,Movie
11745," Sep 23, 1988 to Jul 28, 1989", 29 min. per ep.,nan, 2,"Slice of Life, Music, Seinen", ナマケモノが見てた,"    None found, add some ",Agent 21 ,  #11746, None,6.171 , Unknown,OVA
11746," Apr 10, 2016 to Feb 12, 2017", 3 min.,nan, Unknown,"Comedy, Kids", なめこ～せかいのともだち～,"    None found, add some ","Zexcs,       BeeWorks ",  #11747, G - All Ages,4.791 , Game,TV
11747," Oct 21, 2009", 2 min., Nameless Flipbook, 1,Dementia, Nameless Flipbook,"    None found, add some ","    None found, add some ",  #11748, G - All Ages,4.711 , Original,ONA
11748, Not available, 22 min. per ep.,nan, 52,"Fantasy, Kids", 梦月精灵,"    None found, add some ","    None found, add some ",  #11749, PG - Children,6.221 , Original,TV
11749," Dec 5, 2016 to Jan 29, 2017", 2 min. per ep.,nan, 8,"Comedy, Supernatural", ななにんのあやかし-ちみちみ魍魎!! 現代物語-,"    None found, add some ","    None found, add some ",  #11750, G - All Ages,4.641 , Original,TV
